Permit_Number,Date_of_Submission,Date_of_Permit_Issuance,Completed_Date,Expiration_Date,Permit_Name,Work_Type,Primary_Work_Scope,Permit_Status,Civic_ID,Civic_Number,Street_Name,Community,PID,Type_of_Structure,Work_Description,Active_Parcel,District
"DEVONLY-2024-02071","2024-02-27 12:00:00",,,,"Development Only Permit","Residential","Home Occupation","Application Incomplete",89911,65,"HURSHMAN RD","DUTCH SETTLEMENT","40609968","Mixed Use - Residential & Other Use(s)","no work needs to be done. need development permit to open a home salon. (nail technician)","Y","District 01"
"DEVONLY-2024-02565","2024-03-16 12:00:00","2024-04-03 12:00:00","2024-04-03 12:00:00","2025-04-03 12:00:00","Development Only Permit","Non Residential","Accessory Structure","Completed",183730,131,"BOUTILIERS COVE RD","HACKETTS COVE","40660136","Accessory Structure","Construct Accessory Structure - 23 m2","Y","District 13"
"DEVONLY-2024-02914","2024-03-25 12:00:00","2024-03-27 12:00:00","2024-03-27 12:00:00","2025-03-27 12:00:00","Development Only Permit","Residential","Accessory Structure","Completed",57241,52,"REGAL RD","DARTMOUTH","40177305","Dwelling - Semi-Detached","Install 8X20 Shed","Y","District 06"
"DEVONLY-2024-03194","2024-04-07 12:00:00",,,,"Development Only Permit","Residential","Home Occupation","Applicant Revisions",36458,73,"ORCHARD DR","MIDDLE SACKVILLE","00459420","Dwelling - Single Detached","Home Based Osteopathy Business","Y","District 14"
"DEVONLY-2024-03479","2024-03-26 12:00:00","2024-04-15 12:00:00","2024-04-15 12:00:00","2025-04-15 12:00:00","Development Only Permit","Non Residential","New Building","Completed",,,,,"41315516","Industrial","To construct a Wind Energy Facility.","Y","District 13"
"DEVONLY-2024-03650","2024-05-16 12:00:00","2024-05-29 12:00:00","2024-05-29 12:00:00","2025-05-29 12:00:00","Development Only Permit","Residential","Home Occupation","Completed",148809,40,"ROYALFERN WAY","BEDFORD","41345190","Dwelling - Single Detached","Applying to Operate a Short-Term Rental (STR) 
We be using the basement floor as the STR","Y","District 16"
"DEVONLY-2024-04425","2024-04-14 12:00:00",,,,"Development Only Permit","Residential","Addition","Ready For Issue",8195,52,"SASKATOON DR","HALIFAX","00289314","Dwelling - Single Detached","Confirmation of use for new addition: Short-term bedroom rental.","Y","District 10"
"DEVONLY-2024-04953","2024-06-08 12:00:00","2024-06-18 12:00:00","2024-06-18 12:00:00","2025-06-18 12:00:00","Development Only Permit","Residential","Accessory Structure","Completed",66006,5442,"NORTH ST","HALIFAX","40179228","Accessory Structure","Construct Accessory Structure","Y","District 08"
"DEVONLY-2024-05477","2024-05-12 12:00:00","2024-05-21 12:00:00","2024-05-21 12:00:00","2025-05-21 12:00:00","Development Only Permit","Residential","Accessory Structure","Completed",56013,6,"VIRGINIA AVE","DARTMOUTH","00229070","Accessory Structure","Building a garden shed in our backyard.","Y","District 06"
"DEVONLY-2024-05861","2024-06-18 12:00:00",,,,"Development Only Permit","Non Residential","New Building","Application Incomplete",95320,18638,"HIGHWAY 7","POPES HARBOUR","00423913","Commercial","we are looking to AIRBNB the existing dwelling on the property as well as develop some tent sites in the surrounding wooded area - therefore requiring a building with bathroom and laundry facilities as well as an office for the purpose of conducting day to day outside of the main existing dwelling","Y","District 02"
"DEVONLY-2024-06624","2024-05-24 12:00:00","2024-05-30 12:00:00","2024-05-30 12:00:00","2025-05-30 12:00:00","Development Only Permit","Residential","Accessory Structure","Completed",13498,1,"ESSEX LANE","HALIFAX","40682049","Accessory Structure","Install Pre-Fabricated Shed","Y","District 12"
"DEVONLY-2024-07001","2024-05-30 12:00:00","2024-07-12 12:00:00","2024-07-12 12:00:00","2025-07-12 12:00:00","Development Only Permit","Residential","New Building","Completed",65346,229,"PLEASANT ST","DARTMOUTH","00246074","Dwelling - Multiple Units","105 MU Residential units on 7 storey building with 1 u/g parking. Site Falls under Regional central Plan - COR Zone. Mid Rise building 11m - 20m.","Y","District 03"
"DEVONLY-2024-07475","2024-06-18 12:00:00","2024-06-21 12:00:00","2024-06-21 12:00:00","2025-06-21 12:00:00","Development Only Permit","Residential","Addition","Completed",72178,6232,"DUNCAN ST","HALIFAX","00138263","Dwelling - Single Detached","reno of upper floor","Y","District 09"
"DEVONLY-2024-07868","2024-06-17 12:00:00",,"2024-06-17 12:00:00",,"Development Only Permit","Residential","Accessory Structure","Withdrawn",104813,7256,"HIGHWAY 207","WEST CHEZZETCOOK","40292377","Accessory Structure","Building a combination shed/ greenhouse in my back yard. The total dimensions are 213 sq ft (12' wide by 19.75' ft long). The shed will be placed on a 4' thick gravel slab  on generally level ground.","Y","District 02"
"DEVONLY-2024-08310","2024-06-24 12:00:00",,,,"Development Only Permit","Residential","New Building","Applicant Revisions",74498,1816,"ROBIE ST","HALIFAX","00162446","Dwelling - Multiple Units","Development of a 9 storey multi residential apartment building at 1816 Robie Street","Y","District 09"
"DEVONLY-2024-08512","2024-10-13 12:00:00","2024-10-16 12:00:00","2024-10-16 12:00:00","2025-10-16 12:00:00","Development Only Permit","Residential","Accessory Structure","Completed",144295,44,"DANFORTH RD","HALIFAX","41171554","Accessory Structure","Arrow Select 10' x 8' Outdoor Lockable Steel Storage Shed","Y","District 11"
"DEVONLY-2024-08976","2024-07-05 12:00:00","2024-07-09 12:00:00","2024-07-09 12:00:00","2025-07-09 12:00:00","Development Only Permit","Residential","Renovation","Completed",72649,2766,"CONNAUGHT AVE","HALIFAX","00059394","Dwelling - Single Detached","We are looking to undertake a full home renovation which will include lifting the house, adding an addition in the back, enlarging and enclosing the porch area and adding a garage.","Y","District 09"
"DEVONLY-2024-09305","2024-07-12 12:00:00","2024-07-15 12:00:00","2024-07-15 12:00:00","2025-07-15 12:00:00","Development Only Permit","Residential","Accessory Structure","Completed",57752,41,"JOSEPHINE CRT","DARTMOUTH","00611954","Accessory Structure","Construct Accessory Structure","Y","District 03"
"DEVONLY-2024-10041","2024-07-26 12:00:00","2024-08-02 12:00:00","2024-08-02 12:00:00","2025-08-02 12:00:00","Development Only Permit","Non Residential","Accessory Structure","Completed",47792,1,"VENICE CRT","DARTMOUTH","40270381","Accessory Structure","Would like to build a shed 14x12 feet","Y","District 06"
"DEVONLY-2024-10454","2024-08-06 12:00:00",,,,"Development Only Permit","Non Residential","Renovation","Applicant Revisions",2488,15,"FIRST AVE","BEDFORD","00433367","Dwelling - Multiple Units","looking for clarity around development possibilities for 15 First Avenue, Bedford.  The remains of an old church is presently within the property boundaries.  Prior to and while I owned the property it was taxed as commercial; now taxed as residential use.  As I understand it the church would be considered as non-conforming (as per comments by HRM staff).  Was encouraged to apply for a Development Only Permit to allow for further investigation.","Y","District 16"
"DEVONLY-2024-10717","2024-08-13 12:00:00","2024-10-30 12:00:00","2024-10-30 12:00:00","2025-10-30 12:00:00","Development Only Permit","Residential","New Building","Completed",68185,2378,"CREIGHTON ST","HALIFAX","00155093","Dwelling - Multiple Units","Construction of a 4 unit dwelling and backyard suite","Y","District 08"
"DEVONLY-2024-10953","2024-08-15 12:00:00","2024-08-22 12:00:00","2024-10-21 12:00:00","2025-08-22 12:00:00","Development Only Permit","Residential","Short Term Rental","Completed",10882,2,"MOSS CRT","HALIFAX","40683740","Dwelling - Single Detached","Short term rental of one bedroom.

Short Term Bedroom Rental is permitted up to 3 individual bedrooms, in the primary residence of the operator.","Y","District 12"
"DEVONLY-2024-11061","2024-08-20 12:00:00","2024-09-05 12:00:00","2024-10-21 12:00:00","2025-09-05 12:00:00","Development Only Permit","Residential","Short Term Rental","Completed",23188,19,"HEADLANDS LANE","HUBBARDS","40086332","Commercial","Short Term Rental (Tourist Accommodation)","Y","District 13"
"DEVONLY-2024-11203","2024-08-19 12:00:00",,"2024-10-25 12:00:00",,"Development Only Permit","Residential","Short Term Rental","Withdrawn",128358,5607,"POINT PLEASANT DR","HALIFAX","40280489","Dwelling - Single Detached","Short Term Bedroom Rental","Y","District 07"
"DEVONLY-2024-11371","2024-08-20 12:00:00","2024-08-27 12:00:00","2024-08-27 12:00:00","2025-08-27 12:00:00","Development Only Permit","Residential","Accessory Structure","Completed",95386,27,"COACH AVE","FALL RIVER","40118077","Accessory Structure","Construct a 39.5 sq ft chicken coop/accessory building.","Y","District 01"
"DEVONLY-2024-11442","2024-08-22 12:00:00","2024-08-29 12:00:00","2024-10-21 12:00:00","2025-08-29 12:00:00","Development Only Permit","Residential","Short Term Rental","Completed",75905,1664,"ROBIE ST","HALIFAX","00137083","Commercial","Commercial Short-Term Rental","Y","District 07"
"DEVONLY-2024-11559","2024-08-23 12:00:00","2024-08-28 12:00:00","2024-10-21 12:00:00","2025-08-28 12:00:00","Development Only Permit","Residential","Short Term Rental","Completed",87801,25,"LIGHTHOUSE LANE","EASTERN PASSAGE","00400366","Dwelling - Single Detached","Short term rental","Y","District 03"
"DEVONLY-2024-11633","2024-08-31 12:00:00","2024-10-23 12:00:00","2024-10-23 12:00:00","2025-10-23 12:00:00","Development Only Permit","Residential","Short Term Rental","Completed",140486,307,"BENTLY DR","HALIFAX","41293564","Dwelling - Townhouse","short-term lease for our basement","Y","District 12"
"DEVONLY-2024-11713","2024-12-13 12:00:00","2024-12-30 12:00:00","2024-12-30 12:00:00","2025-12-30 12:00:00","Development Only Permit","Residential","Short Term Rental","Completed",46388,125,"BRENTWOOD DR","BEDFORD","40440851","Dwelling - Single Detached","Short-term bedroom rental","Y","District 16"
"DEVONLY-2024-11795","2024-09-03 12:00:00","2024-09-10 12:00:00","2024-10-23 12:00:00","2025-09-10 12:00:00","Development Only Permit","Residential","Short Term Rental","Completed",61422,109,"PLEASANT ST","DARTMOUTH","00244996","Dwelling - Single Detached","Short-term bedroom rental","Y","District 03"
"DEVONLY-2024-11917","2024-08-27 12:00:00",,,,"Development Only Permit","Residential","New Building","In Review",,,,,"40238453","Dwelling - Multiple Units","Construct 101 unit dwelling","Y","District 02"
"DEVONLY-2024-11928","2024-08-27 12:00:00","2024-08-29 12:00:00","2024-10-22 12:00:00","2025-08-29 12:00:00","Development Only Permit","Residential","Short Term Rental","Completed",162069,5481,"CLYDE ST","HALIFAX","00077438","Commercial","Short term rental, Unit 215","Y","District 07"
"DEVONLY-2024-12002","2024-09-26 12:00:00","2024-10-07 12:00:00","2024-10-29 12:00:00","2025-10-07 12:00:00","Development Only Permit","Residential","Short Term Rental","Completed",148166,41,"MOODY PARK DR","WILLIAMSWOOD","41344177","Dwelling - Single Detached","Short Term Rental - Bedroom","Y","District 11"
"DEVONLY-2024-12074","2024-09-06 12:00:00",,"2024-09-17 12:00:00",,"Development Only Permit","Residential","Renovation","Cancelled",75967,7105,"CHURCHILL DR","HALIFAX","00014027","Commercial","short-term rental","Y","District 09"
"DEVONLY-2024-12126","2024-08-29 12:00:00","2024-09-17 12:00:00","2024-10-22 12:00:00","2025-09-17 12:00:00","Development Only Permit","Residential","Short Term Rental","Completed",18027,185,"PUDDLE RD","QUEENSLAND","40191959","Commercial","Short Term Rental","Y","District 13"
"DEVONLY-2024-12182","2024-08-30 12:00:00","2024-10-01 12:00:00","2024-10-22 12:00:00","2025-10-01 12:00:00","Development Only Permit","Residential","Short Term Rental","Completed",144406,24,"DANFORTH RD","HALIFAX","41171497","Dwelling - Semi-Detached","2 Bedrooms
primary residence being rented
Short tern rental","Y","District 11"
"DEVONLY-2024-12258","2024-09-19 12:00:00","2024-09-27 12:00:00","2024-10-29 12:00:00","2025-09-27 12:00:00","Development Only Permit","Residential","Short Term Rental","Completed",175343,261,"PORTOVISTA DR","PORTUGUESE COVE","41055088","Dwelling - Single Detached","Short Term Rental","Y","District 11"
"DEVONLY-2024-12335","2024-09-05 12:00:00","2024-09-23 12:00:00","2024-10-23 12:00:00","2025-09-23 12:00:00","Development Only Permit","Residential","Renovation","Completed",4052,108,"SOUTHWOOD RD","HAMMONDS PLAINS","00496042","Dwelling - Single Detached","Short Term Rental","Y","District 14"
"DEVONLY-2024-12433","2024-09-04 12:00:00",,"2024-10-25 12:00:00",,"Development Only Permit","Residential","Short Term Rental","Withdrawn",61639,3277,"UNION ST","HALIFAX","00105171","Commercial","Short Term Rental","Y","District 08"
"DEVONLY-2024-12471","2024-09-11 12:00:00","2024-09-18 12:00:00","2024-10-23 12:00:00","2025-09-18 12:00:00","Development Only Permit","Residential","Short Term Rental","Completed",20703,50,"LENNOX RD","BLACK POINT","40084741","Commercial","Short Term Rental","Y","District 13"
"DEVONLY-2024-12533","2024-09-05 12:00:00","2024-09-26 12:00:00","2024-10-23 12:00:00","2025-09-26 12:00:00","Development Only Permit","Residential","Short Term Rental","Completed",4082,55,"ST GEORGE BLVD","HAMMONDS PLAINS","40641466","Dwelling - Single Detached","Short Term Bedroom Rental","Y","District 14"
"DEVONLY-2024-12595","2024-09-07 12:00:00","2024-09-20 12:00:00","2024-10-23 12:00:00","2025-09-20 12:00:00","Development Only Permit","Residential","Short Term Rental","Completed",104386,1630,"OSTREA LAKE RD","OSTREA LAKE","00591578","Commercial","Commercial Short Term Rental","Y","District 02"
"DEVONLY-2024-12688","2024-09-09 12:00:00",,"2024-10-25 12:00:00",,"Development Only Permit","Residential","Short Term Rental","Withdrawn",15531,4,"TITUS ST","HALIFAX","00188474","Commercial","Short Term Rental - full unit","Y","District 10"
"DEVONLY-2024-12752","2024-09-09 12:00:00","2024-09-17 12:00:00","2024-10-23 12:00:00","2025-09-17 12:00:00","Development Only Permit","Residential","Short Term Rental","Completed",21680,23,"COLWELL DR","QUEENSLAND","40021198","Commercial","Short Term Rental","Y","District 13"
"DEVONLY-2024-12775","2024-09-13 12:00:00",,,,"Development Only Permit","Residential","Short Term Rental","Applicant Revisions",68463,2469,"CLIFTON ST","HALIFAX","00147413","Commercial","STR","Y","District 08"
"DEVONLY-2024-12850","2024-09-10 12:00:00","2024-09-26 12:00:00","2024-10-23 12:00:00","2025-09-26 12:00:00","Development Only Permit","Residential","Short Term Rental","Completed",46334,52,"NORTH ST","BEDFORD","40113516","Dwelling - Single Detached","Short term rental of an already existing space.","Y","District 16"
"DEVONLY-2024-12936","2024-09-10 12:00:00","2024-09-27 12:00:00","2024-10-23 12:00:00","2025-09-27 12:00:00","Development Only Permit","Residential","Short Term Rental","Completed",30573,181,"BERRINGER RD","WEST DOVER","41518234","Dwelling - Single Detached","Short Term Rental - Bed and Breakfast","Y","District 13"
"DEVONLY-2024-13036","2024-09-12 12:00:00","2024-10-17 12:00:00","2024-10-24 12:00:00","2025-10-17 12:00:00","Development Only Permit","Residential","Short Term Rental","Completed",95892,17644,"HIGHWAY 7","TANGIER","00629360","Dwelling - Single Detached","Short Term Rental","Y","District 02"
"DEVONLY-2024-13109","2024-09-11 12:00:00","2024-09-26 12:00:00","2024-10-23 12:00:00","2025-09-26 12:00:00","Development Only Permit","Residential","Short Term Rental","Completed",70629,6029,"CUNARD ST","HALIFAX","00146969","Commercial","Commercial short-term rental in Unit 2.","Y","District 08"
"DEVONLY-2024-13187","2024-09-12 12:00:00",,,,"Development Only Permit","Residential","New Building","Applicant Revisions",44791,376,"SACKVILLE DR","LOWER SACKVILLE","41052283","Dwelling - Multiple Units","construction of 7 multi-unit buildings","Y","District 15"
"DEVONLY-2024-13254","2024-09-13 12:00:00",,,,"Development Only Permit","Residential","New Building","Applicant Revisions",53106,336,"WINDMILL RD","DARTMOUTH","00090738","Dwelling - Multiple Units","This site has been previously discussed with HRM planning.
- 330 Windmill in final negotiations with HRM for sale to Cedarmount. Passed by council as surplus and roadway closure.
- 3 Sprinhill Rd was rezoned to COR in recent center plan amendments. Part of HAF I believe
- Work to include demo of existing buildings, excavation and construction of new building.","Y","District 05"
"DEVONLY-2024-13304","2024-09-24 12:00:00",,,,"Development Only Permit","Residential","Short Term Rental","Application Incomplete",172216,18,"GALA CRT","HALIFAX","41485764","Dwelling - Semi-Detached","Short term rental","Y","District 11"
"DEVONLY-2024-13378","2024-09-16 12:00:00","2024-10-04 12:00:00","2024-10-25 12:00:00","2025-10-04 12:00:00","Development Only Permit","Residential","Short Term Rental","Completed",59591,122,"OCHTERLONEY ST","DARTMOUTH","00134254","Commercial","Short Term Rental - Entire self-contained Apartment","Y","District 05"
"DEVONLY-2024-13428","2024-09-16 12:00:00","2024-10-02 12:00:00","2024-10-25 12:00:00","2025-10-02 12:00:00","Development Only Permit","Residential","Short Term Rental","Completed",82975,81,"HOWARD AVE","EASTERN PASSAGE","00370080","Dwelling - Single Detached","Short-Term Rental in operators primary residence","Y","District 03"
"DEVONLY-2024-13540","2024-09-16 12:00:00","2024-09-27 12:00:00","2024-10-25 12:00:00","2025-09-27 12:00:00","Development Only Permit","Residential","Short Term Rental","Completed",97544,975,"WEST SHIP HARBOUR RD","LOWER SHIP HARBOUR","41027772","Dwelling - Single Detached","short term rental","Y","District 02"
"DEVONLY-2024-13572","2024-09-18 12:00:00","2024-11-07 12:00:00","2024-11-07 12:00:00","2025-11-07 12:00:00","Development Only Permit","Residential","Short Term Rental","Completed",25198,16,"IVYLEA CRES","HALIFAX","00306753","Dwelling - Single Detached","1 bedroom being rented as a short term rental in Primary Residence.","Y","District 11"
"DEVONLY-2024-13665","2024-09-18 12:00:00","2024-11-18 12:00:00","2024-11-18 12:00:00","2025-11-18 12:00:00","Development Only Permit","Residential","Short Term Rental","Completed",160677,40,"CHELMSFORD PL","HALIFAX","41383530","Dwelling - Semi-Detached","Short Term Rental - Basement Suite","Y","District 10"
"DEVONLY-2024-13734","2024-09-20 12:00:00",,,,"Development Only Permit","Residential","Short Term Rental","Applicant Revisions",161649,6048,"PEPPERELL ST","HALIFAX","00162917","Commercial","This is a residential property and this information is needed for short term rental for my secondary suite.","Y","District 09"
"DEVONLY-2024-13803","2024-09-19 12:00:00","2024-10-11 12:00:00","2024-10-11 12:00:00","2025-10-11 12:00:00","Development Only Permit","Residential","Short Term Rental","Completed",176595,97,"HONEYGOLD DR","HALIFAX","41524570","Dwelling - Semi-Detached","Short Term Rental space in basement of primary residence","Y","District 11"
"DEVONLY-2024-13894","2024-09-20 12:00:00","2024-10-10 12:00:00","2024-10-10 12:00:00","2025-10-10 12:00:00","Development Only Permit","Residential","Short Term Rental","Completed",97542,34,"MURDOCK LANE","MUSQUODOBOIT HARBOUR","00594242","Commercial","Short-Term Rental","Y","District 02"
"DEVONLY-2024-13952","2024-09-19 12:00:00","2024-10-11 12:00:00","2024-10-11 12:00:00","2025-10-11 12:00:00","Development Only Permit","Residential","Short Term Rental","Completed",121736,49,"CUTTER DR","HALIFAX","41062936","Dwelling - Single Detached","Short Term rental","Y","District 16"
"GP-2021-04599","2021-03-19 12:00:00",,"2021-03-24 12:00:00",,"Development Only Permit","Residential","Residential","Withdrawn",9644,7,"WINONA CRES","HALIFAX","41417320","Residential","No construction is required. There is an existing house with a walkout basement, we want to get a permit to declare it as a secondary suite.","Y","District 10"
"GP-2021-06162","2021-04-11 12:00:00","2021-05-11 12:00:00","2021-05-11 12:00:00","2022-05-11 12:00:00","Development Only Permit","Residential","Basic & Land Use Only","Completed",146692,19746,"HIGHWAY 7","SPRY BAY","41288507","Residential","4.3m x 4.6m (19.78 sq metres)storage shed","Y","District 02"
"GP-2021-06650","2021-04-16 12:00:00","2021-05-03 12:00:00","2021-05-03 12:00:00","2022-05-03 12:00:00","Development Only Permit","Residential","Basic & Land Use Only","Completed",157939,81,"CHERRYWOOD DR","COLE HARBOUR","41347055","Residential","10x12 shed","Y","District 04"
"GP-2021-06944","2021-04-21 12:00:00","2021-06-14 12:00:00","2021-06-14 12:00:00","2022-06-14 12:00:00","Development Only Permit","Residential","Accessory Structure","Completed",158470,65,"DELLRIDGE LANE","BEDFORD","41431065","Accessory Structure","looking to add an 8'x10' shed to the property","Y","District 16"
"GP-2021-07299","2021-05-20 12:00:00",,"2021-05-27 12:00:00",,"Development Only Permit","Residential","Residential","Withdrawn",74777,2490,"WESTMOUNT ST","HALIFAX","00008367","Residential","1.  Install a toilet and sink in the existing front hall closet in the ground floor, south-east corner of the main structure of the house.

2.  Enclose 2590 mm x 1626 mm (4.21 square metres) of the south end of the existing front deck/veranda to create a new front entryway.

3.  Conceptual design was prepared by John Hattie, Atlantic Home Designs.

4.  The work will be undertaken by Ian MacKenzie Home Resource Renovations and Restoration.

5.  See enclosed specification page for details of construction, frame walls, insulation etc.","Y","District 09"
"GP-2021-07465","2021-04-27 12:00:00","2021-06-11 12:00:00","2021-06-11 12:00:00","2022-06-11 12:00:00","Development Only Permit","Residential","New Building","Completed",,,,,"40697005","Dwelling - Single Detached","dp only - to place a small home on lot","Y","District 13"
"GP-2021-07592","2021-04-27 12:00:00","2021-06-01 12:00:00","2021-06-01 12:00:00","2022-06-01 12:00:00","Development Only Permit","Residential","Accessory Structure","Completed",1199,32,"LODGE AVE","HAMMONDS PLAINS","40821233","Residential","10x14 storage shed","Y","District 14"
"GP-2021-07861","2021-04-30 12:00:00",,"2023-01-25 12:00:00",,"Development Only Permit","Non Residential","Commercial","Withdrawn",51945,,"JACKSON RD","DARTMOUTH","00057596","Residential","We would like to build a 2 story residential building containing 6 bachelor units on each floor behind the existing duplex at 18 A-B Jackson Rd in Dartmouth.","Y","District 05"
"GP-2021-08009","2021-07-19 12:00:00",,"2021-07-26 12:00:00",,"Development Only Permit","Residential","Residential","Cancelled",126554,572,"WEST LAWRENCETOWN RD","LAWRENCETOWN","40863441","Residential","Preliminary Subdivision","N","District 02"
"GP-2021-08417","2021-05-06 12:00:00",,"2021-05-14 12:00:00",,"Development Only Permit",,,"Withdrawn",37428,84,"SAMPSON DR","LOWER SACKVILLE","40008609","Residential","Already existing unit","Y","District 15"
"GP-2021-08725","2021-05-11 12:00:00","2021-07-20 12:00:00","2021-07-20 12:00:00","2022-07-20 12:00:00","Development Only Permit","Non Residential","New Building","Completed",143751,45,"THORNE AVE","DARTMOUTH","41278912","Commercial","Erect steel engineered building.","Y","District 06"
"GP-2021-08938","2021-05-17 12:00:00","2021-06-23 12:00:00","2021-06-23 12:00:00","2022-06-23 12:00:00","Development Only Permit","Residential","Accessory Structure","Completed",146188,53,"EAST SIDE RD","KETCH HARBOUR","41205592","Accessory Structure","Construction of a small out building for seasonal recreational use.  Off season storage.","Y","District 11"
"GP-2021-09247","2021-05-18 12:00:00",,"2021-05-18 12:00:00",,"Development Only Permit","Residential","Basic & Land Use Only","Withdrawn",168324,82,"CAMBREN DR","HUBLEY","41453366","Residential","To build a 3.04m x 4.87m (12' x16') storage shed","Y","District 13"
"GP-2021-10148","2021-05-28 12:00:00",,"2023-01-17 12:00:00",,"Development Only Permit","Non Residential","Addition","Withdrawn",39053,14,"KRISTA DR","MIDDLE SACKVILLE","40352361","Accessory Structure","I would like to build a greenhouse in my backyard by myself.","Y","District 14"
"DEVONLY-2021-10335","2021-06-01 12:00:00","2021-08-20 12:00:00","2021-08-20 12:00:00","2022-08-20 12:00:00","Development Only Permit","Residential","Home Occupation","Completed",34338,515,"BEAVER BANK RD","BEAVER BANK","00468157","Accessory Structure","We would like to have a home occupation operating within our existing accessory structure.

As part of your application you will be asked to provide a description of the home-based business that includes:
a.    Name of the Business - Tovey's Transportation Ltd. 
b.    Number of employees/clients - 1 or 2 / unknown # of clients
c.    Nature of the business - New utility trailer assembly and sales, inspections, and repairs.

The proposed business space is already configured, does not require any alteration, and is less than 1000sqft.  It will be located in the accessory building at my property at 515 Beaver Bank Rd. The nature of the business will be to assemble and sell new utility trailers and conduct utility trailer inspections.  I am a licensed motor vehicle mechanic with interprovincial certification. I expect to do the work myself but might have the occasional need for an employee (certified mechanic).","Y","District 15"
"DEVONLY-2021-10775","2021-06-07 12:00:00","2021-07-20 12:00:00","2021-07-20 12:00:00","2022-07-20 12:00:00","Development Only Permit","Non Residential","New Building","Completed",120548,26,"SILVER CRT","COW BAY","40462202","Accessory Structure","VN - CA Trade & Investment Promotion Inc. (VCATIP) is the owner of the property at 26 Silver Court (PID 40462202) in Cow Bay NS B3G1K1. There is an old shed at the property and VCATIP is applying for a demolition permit of the old shed and a development permit to replace it with new structure.","Y","District 03"
"DEVONLY-2021-11066","2021-07-06 12:00:00","2021-08-23 12:00:00","2022-01-21 12:00:00","2022-08-23 12:00:00","Development Only Permit","Not Associated to a Building","Alteration to Land Use","Completed",111295,309,"MAIN ST","DARTMOUTH","41053877","Institutional and Governmental","* Let me know the best options to pick for this one* New Mountain Bike Park, on Halifax Water land,  administered by Bicycle Nova Scotia.  Land is zoned for Passive Recreation, this development permit is to provide information to HRM to confirm that the existing land use by laws will allow a a new mountain bike park.","Y","District 06"
"DEVONLY-2021-11282","2021-06-14 12:00:00","2021-06-25 12:00:00","2021-06-25 12:00:00","2022-06-25 12:00:00","Development Only Permit","Residential","Accessory Structure","Completed",23194,11995,"PEGGYS COVE RD","FRENCH VILLAGE","00500678","Accessory Structure","12x16 shed  192","Y","District 13"
"DEVONLY-2021-11395","2021-07-15 12:00:00",,,,"Development Only Permit","Residential","Accessory Structure","Applicant Revisions",,,,,"40251779","Accessory Structure","building a 12 x 16 shed. 8 feet high  ( 192 sq feet)
need dev permit number for NS Power","Y","District 01"
"DEVONLY-2021-11594","2021-06-18 12:00:00",,"2021-07-26 12:00:00",,"Development Only Permit","Residential","Accessory Structure","Withdrawn",,,,,"00474932","Accessory Structure","Development Permit for 14x15 shed - approx. 8 feet in height and will be built with 2x4s. Basic shed with 4 foot peak.
Approx 250 feet into property from Perry Grant Road; 528 feet in from the East, 687 feet in from the South and 1446 feet in from the West of property.  Perry Grant Road being the North side. Please refer to the aerial view of property.","Y","District 01"
"DEVONLY-2021-11706","2021-07-22 12:00:00","2021-08-20 12:00:00","2021-08-20 12:00:00","2022-08-20 12:00:00","Development Only Permit","Residential","Addition","Completed",87337,1996,"CALDWELL RD","EASTERN PASSAGE","00373795","Dwelling - Multiple Units","Adding an addition onto existing two unit dwelling","Y","District 03"
"DEVONLY-2021-12227","2021-07-15 12:00:00","2021-08-11 12:00:00","2021-08-11 12:00:00","2022-08-11 12:00:00","Development Only Permit","Non Residential","New Building","Completed",45546,51,"COBEQUID RD","LOWER SACKVILLE","40010118","Accessory Structure","Construct accessory building - shed.","Y","District 15"
"DEVONLY-2021-12421","2021-07-05 12:00:00","2021-07-30 12:00:00","2021-07-30 12:00:00","2022-07-30 12:00:00","Development Only Permit","Residential","Accessory Structure","Completed",18905,132,"MAPLEWOOD DR","TIMBERLEA","40162208","Accessory Structure","Hello HRM Team, 
I have bought a sunroom that I would like to install in the backyard. This structure is mainly made out of aluminium, foam, and glass.  It is 12x12 Ft.  It will be installed on a solid wood frame with 8 concrete footings and may have 2 steps into the entrance if required.
Thank you!","Y","District 12"
"DEVONLY-2021-12617","2021-07-07 12:00:00","2021-08-25 12:00:00","2021-08-25 12:00:00","2022-08-25 12:00:00","Development Only Permit","Non Residential","New Building","Completed",108910,221,"WAVERLEY RD","DARTMOUTH","00249722","Commercial","New office space, tap room, and brewery for Nine Locks.","Y","District 06"
"DEVONLY-2021-12783","2021-07-09 12:00:00","2021-07-30 12:00:00","2021-07-30 12:00:00","2022-07-30 12:00:00","Development Only Permit","Residential","Accessory Structure","Completed",149015,130,"THISTLE ST","DARTMOUTH","41350042","Accessory Structure","10x12 shed","Y","District 05"
"DEVONLY-2021-13121","2021-07-15 12:00:00","2021-09-02 12:00:00","2021-09-02 12:00:00","2022-09-02 12:00:00","Development Only Permit","Non Residential","Addition","Completed",143251,211,"JOHN SAVAGE AVE","DARTMOUTH","41276288","Industrial","Construct single storey (15' high) warehouse addition to existing warehouse building","Y","District 06"
"DEVONLY-2021-13279","2021-07-21 12:00:00","2022-07-21 12:00:00","2022-07-21 12:00:00","2023-07-21 12:00:00","Development Only Permit","Non Residential","Addition","Completed",33119,1236,"BEAVER BANK RD","BEAVER BANK","00467340","Accessory Structure","Shipping container in side yard. Accessory to Restaurant.","Y","District 15"
